1,GANDHI NAGAR NORTH,ELSAMMAVARGHESE,INC,Woman
2,SANKRANTHI,LEELAMMA JOSEPH,INC,Woman
3,PARAMPUZHA,JOJY K THOMAS,KC(M),General
4,PALLIPURAM,REJIMON M E,CPI(M),General
5,NATTASSERY,SUBHA SANTHOSH,CPI(M),SC Woman
6,PUTHETTU,VINU R MOHAN,BJP,General
7,KUMARANALLOOR TOWN,G JAYAKUMAR,CPI(M),General
8,TEMPLE WARD,RENUKA SASI,BJP,Woman
9,S H MOUNT,DR.SONA P R,INC,SC Woman
10,PULLARIKUNNU,KK SREEMON,CPI(M),General
11,MALLUSSERY,JOMOL JAMES,INC,Woman
12,NAGAMPADOM NORTH,T C ROY,INC,General
13,NAGAMPADOM SOUTH,SABU PULIMOOTTIL,INC,General
14,MULLENKUZHY,JOBY JOHNSON,CPI(M),General
15,MOUNT CARMEL,SALI MATHEWS,INC,Woman
16,KANJIKUZHY,REKHA RAJESH,INDEPENDENT,Woman
17,DEVALOKAM,SHEEBA OUNNEN,INC,Woman
18,MUTTAMBALAM,LILLYKUTTY MAMMEN,INC,Woman
19,COLLECTROTE,T N HARIKUMAR,BJP,General
20,CATHEDRAL,S GOPAKUMAR,INC,General
21,THIRUNAKARA,JAYASREE KUMAR,INC,Woman
22,CHIRAYILPADAM,ANUSHA KRISHNA,KC(M),Woman
23,PUTHENANGADI,P S ABHISHEK,CPI(M),SC 
24,THIRUVATHUKAL,JANCY JACOB,INC,Woman
25,PALLIKONAM,C N SATHYANESAN,CPI(M),General
26,PULINACKKAL,BINDHU SANTHOSHKUMAR,INC,Woman
27,PATHINARILCHIRA,MEERABALU,INC,Woman
28,KARAPUZHA,JYOTHI SREEKANTH,BJP,Woman
30,MUPPAYIKADU,ADV.SHEEJA ANIL,INC,General
31,MOOLAVATTOM,SHEENA BINU,INC,Woman
32,KAKKUR MUTHENMALI,P R SURESH BABU,INC,General
33,CHETTIKUNNU,SUSAN KUNJUMON,INC,Woman
34,POWER HOUSE,SABU PALLIVATHUKAL,INC,General
35,PANNIMATTOM,JOSE PALLIKUNNEL,KC(M),Woman
36,CHINGAVANAM,LEELAMMA MATHEW,KC(M),Woman
37,PALAMOODU,K K PRASAD,INC,General
38,PUTHENTHODU,ADV.TINO K THOMAS,INC,General
39,MAVILANGU,TINTU JINS,INC,Woman
40,PALLAM,RIJESH C BREEZE VILLA,INDEPENDENT,General
41,KANNADIKKADAVU,P N SARASSAMMAL,CPI(M),Woman
42,MARIYAPALLY,K SANKARAN,BJP,General
43,THURAMUKHAM,ARUN SHAJI,CPI(M),General
44,KODIMATHA SOUTH,SANIL THAMMPY,CPI(M),General
45,KANJIRAM,SANIL K J,INC,General
46,PANAMPADY,V V SHYLA,CPI(M),General
47,ILLIKKAL,M P SANTHOSH KUMAR,INC,General
48,THAZHATHANGADY,KUNJUMON K METHER,IUML,General
49,PAZHAYA SEMINARY,RADHAKRISHNAN KOYICKAL,INDEPENDENT,General
50,VARISSERY,TELMA JOHN,CPI(M),Woman
51,THUTHUTTY,JAYASREE BINU,CPI(M),Woman
52,GANDHI NAGAR SOUTH,P P CHANDRAKUMAR,CPI,General
